cust_id,call_date,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
cust_000037,2018-11-21,43,technician,married,secondary,yes,-313,no,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000038,2019-01-07,53,blue_collar,married,primary,no,465,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000040,2018-08-23,39,management,married,primary,no,551,no,yes,cellular,7,jul,5,-1,0,unknown,no
cust_000041,2018-12-08,56,housemaid,married,primary,no,58,no,yes,cellular,7,jul,6,-1,0,unknown,no
cust_000044,2019-03-12,58,management,married,primary,no,4850,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000045,2018-09-14,56,blue_collar,married,primary,no,409,yes,no,telephone,7,jul,6,-1,0,unknown,no
cust_000046,2018-11-19,36,unemployed,single,primary,no,0,yes,no,telephone,7,jul,6,-1,0,unknown,no
cust_000047,2019-04-20,39,management,married,tertiary,no,1007,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000048,2018-10-22,46,management,married,primary,no,312,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000049,2018-12-22,58,blue_collar,divorced,primary,no,820,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000050,2018-07-14,52,management,married,secondary,no,3369,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000052,2019-01-07,59,blue_collar,married,secondary,no,-1336,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000054,2019-02-17,50,blue_collar,married,primary,no,9301,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000056,2019-01-29,51,self_employed,married,secondary,yes,34,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000057,2019-04-21,39,technician,single,secondary,no,506,yes,no,cellular,7,jul,2,-1,0,unknown,yes
cust_000058,2019-01-21,38,management,married,tertiary,no,1444,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000059,2019-04-08,30,services,single,secondary,no,0,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000060,2019-04-21,41,technician,married,secondary,no,923,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000061,2019-01-13,45,unemployed,divorced,secondary,no,-44,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000062,2019-04-29,54,services,divorced,tertiary,no,413,no,no,cellular,7,jul,9,-1,0,unknown,no
cust_000063,2019-05-02,47,admin,single,secondary,no,3531,yes,no,cellular,7,jul,6,-1,0,unknown,no
cust_000064,2018-10-23,53,management,divorced,tertiary,no,243,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000066,2018-09-04,42,blue_collar,divorced,primary,no,213,yes,no,cellular,7,jul,3,-1,0,unknown,yes
cust_000067,2018-09-11,33,services,single,secondary,no,170,no,no,cellular,7,jul,1,-1,0,unknown,yes
cust_000068,2018-09-26,34,self_employed,married,tertiary,no,-236,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000069,2019-02-02,54,blue_collar,divorced,secondary,no,1613,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000070,2018-08-26,37,entrepreneur,married,tertiary,no,555,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000072,2018-07-04,38,technician,married,secondary,no,2220,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000074,2019-01-06,31,admin,single,secondary,no,92,yes,no,cellular,7,jul,2,-1,0,unknown,no
cust_000075,2018-10-03,45,blue_collar,divorced,primary,no,1805,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000078,2018-11-27,40,blue_collar,married,primary,no,254,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000079,2018-11-15,42,unemployed,married,primary,no,11,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000080,2018-08-07,27,management,single,secondary,no,1609,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000081,2018-10-19,45,management,married,tertiary,no,1447,yes,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000082,2019-04-07,43,technician,divorced,tertiary,no,27,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000083,2018-07-26,41,admin,married,secondary,no,125,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000084,2019-05-03,47,management,married,primary,no,1797,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000086,2019-04-12,40,admin,married,secondary,no,1395,yes,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000087,2019-04-30,33,technician,divorced,secondary,no,522,no,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000088,2019-03-25,36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,3,-1,0,unknown,yes
cust_000089,2018-08-02,25,blue_collar,married,primary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000090,2018-12-05,45,technician,married,secondary,no,879,no,no,cellular,7,jul,2,-1,0,unknown,yes
cust_000091,2019-05-07,27,services,single,secondary,no,266,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000092,2018-08-24,43,services,married,primary,no,29,no,no,telephone,7,jul,8,-1,0,unknown,no
cust_000097,2018-05-31,46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,5,-1,0,unknown,yes
cust_000098,2018-09-15,43,technician,married,secondary,no,-796,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000100,2019-01-22,37,services,married,secondary,no,343,yes,yes,cellular,7,jul,7,-1,0,unknown,no
cust_000101,2019-01-12,54,management,divorced,tertiary,no,92,no,yes,telephone,7,jul,4,-1,0,unknown,no
cust_000102,2019-01-25,28,management,single,tertiary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000103,2018-12-09,44,services,married,secondary,no,182,yes,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000104,2018-05-26,57,admin,married,secondary,no,1143,no,no,telephone,7,jul,3,-1,0,unknown,no
cust_000106,2018-07-06,27,blue_collar,single,secondary,no,77,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000107,2019-03-30,51,technician,married,secondary,no,1327,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000109,2018-12-17,57,technician,married,secondary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000110,2019-04-01,59,retired,divorced,secondary,no,23,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000111,2019-01-25,57,retired,married,primary,no,808,no,no,telephone,7,jul,1,-1,0,unknown,no
cust_000112,2018-09-13,26,services,married,secondary,no,-236,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000113,2019-02-06,36,services,married,secondary,no,-274,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000114,2018-06-13,35,management,single,tertiary,no,12,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000115,2019-02-09,40,admin,single,secondary,no,-1,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000116,2018-05-10,51,blue_collar,married,primary,no,505,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000118,2018-06-10,33,blue_collar,single,primary,no,777,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000119,2018-07-29,53,blue_collar,married,primary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000120,2018-12-06,39,blue_collar,single,primary,no,366,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000122,2018-06-02,60,blue_collar,divorced,primary,no,3427,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000124,2019-01-08,46,technician,married,secondary,no,967,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000126,2019-02-08,32,self_employed,single,tertiary,no,2559,no,no,cellular,7,jul,1,-1,0,unknown,yes
cust_000127,2019-04-30,32,admin,married,secondary,no,1604,no,yes,cellular,7,jul,1,-1,0,unknown,yes
cust_000128,2018-10-05,34,blue_collar,single,primary,yes,-2,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000129,2019-02-23,30,management,single,tertiary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000130,2019-04-04,51,blue_collar,married,secondary,no,505,yes,no,telephone,7,jul,4,-1,0,unknown,no
cust_000131,2019-03-14,29,services,married,tertiary,no,0,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000132,2019-04-28,35,services,single,secondary,no,2110,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000133,2018-10-08,31,blue_collar,single,secondary,no,1,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000134,2018-10-14,29,blue_collar,married,primary,no,57,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000135,2018-05-22,44,housemaid,married,primary,no,398,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000136,2018-10-22,32,services,single,secondary,no,-1139,yes,no,cellular,7,jul,1,-1,0,unknown,no
cust_000137,2019-04-13,36,blue_collar,married,secondary,no,537,no,yes,cellular,7,jul,6,-1,0,unknown,no
cust_000138,2018-08-31,40,technician,married,secondary,no,351,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000139,2018-09-03,37,management,single,tertiary,no,0,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000140,2019-04-08,45,management,single,secondary,no,-57,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000141,2018-07-13,39,admin,married,secondary,no,2319,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000142,2018-11-21,25,technician,single,tertiary,no,437,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000143,2018-06-11,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000144,2018-11-21,34,technician,single,secondary,no,232,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000147,2018-11-10,35,admin,single,secondary,no,0,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000149,2019-02-15,28,technician,single,secondary,no,909,no,yes,cellular,7,jul,1,-1,0,unknown,yes
cust_000152,2018-09-17,45,admin,divorced,secondary,no,-176,no,yes,cellular,7,jul,1,-1,0,unknown,yes
cust_000153,2019-05-09,34,admin,divorced,secondary,no,564,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000154,2019-02-04,27,services,married,secondary,no,221,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000156,2018-11-15,48,admin,married,secondary,no,8,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000158,2019-01-08,31,technician,single,secondary,no,475,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000159,2019-03-12,29,blue_collar,single,primary,no,161,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000160,2018-10-20,40,management,divorced,tertiary,no,492,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000161,2018-06-25,35,admin,married,secondary,no,0,no,no,cellular,7,jul,11,-1,0,unknown,no
cust_000162,2018-11-19,30,admin,married,primary,no,40,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000163,2018-11-07,34,blue_collar,married,secondary,no,205,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000165,2019-04-07,41,management,married,secondary,no,0,no,yes,cellular,7,jul,3,-1,0,unknown,no
cust_000166,2018-12-28,58,blue_collar,married,secondary,no,2146,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000167,2018-06-01,35,blue_collar,married,primary,no,63,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000168,2019-01-30,27,technician,married,secondary,no,-428,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000170,2019-01-08,52,technician,divorced,tertiary,yes,-1014,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000171,2018-09-21,38,technician,married,secondary,no,-228,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000173,2019-01-31,25,blue_collar,single,secondary,no,218,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000174,2018-10-04,29,services,married,secondary,no,123,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000175,2018-07-07,48,blue_collar,married,primary,no,14,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000176,2018-10-29,29,blue_collar,married,secondary,no,247,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000177,2018-08-03,38,housemaid,divorced,secondary,no,216,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000179,2019-04-12,40,blue_collar,married,secondary,no,326,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000180,2018-07-15,31,admin,single,secondary,no,119,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000181,2018-07-06,34,blue_collar,married,primary,no,69,no,no,telephone,7,jul,1,-1,0,unknown,no
cust_000182,2019-04-14,29,blue_collar,married,primary,no,707,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000183,2019-03-03,44,housemaid,married,primary,no,-227,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000184,2019-04-22,41,blue_collar,single,secondary,yes,1085,yes,yes,cellular,7,jul,1,-1,0,unknown,yes
cust_000186,2018-06-12,43,management,divorced,tertiary,no,-132,yes,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000187,2019-04-23,59,blue_collar,divorced,primary,no,1265,no,yes,cellular,7,jul,1,-1,0,unknown,yes
cust_000188,2019-04-25,46,management,married,secondary,no,700,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000189,2019-04-15,55,blue_collar,single,secondary,no,82,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000190,2018-06-22,41,housemaid,married,primary,no,1529,no,no,cellular,7,jul,6,-1,0,unknown,no
cust_000192,2018-06-05,39,technician,married,secondary,no,-241,yes,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000194,2018-10-23,32,technician,single,secondary,no,-398,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000195,2019-01-24,41,technician,divorced,secondary,no,0,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000196,2019-04-18,29,services,married,secondary,no,-597,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000197,2018-06-11,31,blue_collar,single,secondary,no,16,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000198,2019-03-31,37,admin,married,secondary,no,10,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000199,2018-05-19,50,admin,single,secondary,no,-79,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000200,2019-03-07,27,management,single,tertiary,no,338,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000201,2018-10-19,47,management,married,tertiary,no,-50,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000202,2019-02-22,47,technician,single,secondary,no,-239,yes,yes,cellular,7,jul,3,-1,0,unknown,yes
cust_000204,2019-03-21,51,services,married,secondary,no,867,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000205,2018-11-05,57,retired,married,secondary,no,-37,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000206,2018-06-10,44,technician,divorced,secondary,no,0,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000207,2019-04-04,51,management,married,tertiary,no,1392,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000209,2019-01-19,41,admin,single,secondary,no,0,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000210,2018-05-20,25,blue_collar,single,secondary,no,913,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000211,2018-08-13,32,admin,single,secondary,no,-267,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000212,2018-06-10,40,services,married,secondary,no,193,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000213,2019-02-13,31,services,single,secondary,no,78,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000214,2018-09-05,30,unemployed,married,secondary,no,85,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000215,2019-01-24,25,services,single,secondary,no,111,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000217,2018-06-01,49,blue_collar,married,primary,yes,-354,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000220,2018-08-23,35,management,single,tertiary,no,14,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000221,2019-03-14,60,retired,divorced,tertiary,no,468,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000222,2018-06-28,33,blue_collar,single,primary,yes,-15,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000223,2018-06-18,43,management,married,tertiary,no,1530,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000224,2019-01-11,42,admin,married,secondary,no,1133,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000225,2018-08-10,33,services,single,secondary,no,329,yes,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000226,2018-08-15,42,technician,married,secondary,no,473,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000228,2018-06-07,25,technician,single,tertiary,no,226,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000229,2018-11-30,26,admin,married,secondary,no,383,yes,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000230,2019-02-22,39,admin,divorced,secondary,no,1,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000233,2018-12-07,52,unemployed,married,tertiary,no,1023,no,no,cellular,7,jul,6,-1,0,unknown,no
cust_000234,2019-03-30,28,admin,single,secondary,no,1507,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000235,2019-04-17,46,blue_collar,married,primary,no,3969,no,no,telephone,7,jul,5,-1,0,unknown,no
cust_000236,2018-10-22,28,services,single,secondary,no,198,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000238,2018-11-30,45,blue_collar,married,primary,no,55,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000240,2018-06-10,42,blue_collar,single,secondary,no,419,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000241,2018-06-22,34,blue_collar,single,secondary,no,-72,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000242,2018-05-10,50,technician,married,secondary,no,0,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000243,2019-04-05,59,blue_collar,married,primary,no,3372,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000244,2019-03-31,58,technician,divorced,secondary,no,-354,yes,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000245,2018-05-14,31,management,married,tertiary,no,-513,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000246,2018-05-11,58,blue_collar,divorced,secondary,no,916,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000247,2018-11-22,25,services,single,secondary,no,402,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000248,2018-05-11,32,blue_collar,single,secondary,no,22,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000250,2019-01-11,33,management,single,secondary,no,1326,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000251,2018-05-22,38,management,married,tertiary,no,76,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000252,2019-05-03,52,blue_collar,divorced,secondary,no,497,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000253,2018-07-03,27,admin,single,secondary,no,145,no,yes,cellular,7,jul,3,-1,0,unknown,no
cust_000254,2018-10-05,25,blue_collar,married,primary,no,0,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000256,2018-08-19,35,management,married,tertiary,no,1361,no,yes,cellular,7,jul,11,-1,0,unknown,no
cust_000257,2019-03-17,28,unemployed,single,secondary,yes,-1270,no,yes,telephone,7,jul,2,-1,0,unknown,no
cust_000259,2018-07-19,33,technician,married,secondary,no,2284,yes,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000261,2019-01-16,47,blue_collar,married,secondary,yes,-594,yes,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000262,2019-02-28,50,technician,married,secondary,no,1717,no,no,telephone,7,jul,8,-1,0,unknown,no
cust_000263,2018-06-01,50,self_employed,divorced,tertiary,no,387,no,no,cellular,7,jul,8,-1,0,unknown,no
cust_000264,2018-10-25,49,management,married,tertiary,no,96,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000265,2018-11-21,44,entrepreneur,married,primary,no,5038,no,no,cellular,7,jul,7,-1,0,unknown,no
cust_000266,2019-04-25,28,technician,single,secondary,no,1581,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000267,2018-07-31,31,services,single,secondary,no,8,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000269,2018-05-13,29,blue_collar,single,secondary,no,218,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000270,2019-04-13,51,blue_collar,married,primary,no,720,no,no,cellular,7,jul,5,-1,0,unknown,no
cust_000271,2018-08-18,44,admin,divorced,tertiary,no,0,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000272,2018-12-01,43,management,married,secondary,no,-213,no,yes,telephone,7,jul,2,-1,0,unknown,no
cust_000273,2018-06-10,44,services,married,secondary,no,300,yes,no,cellular,7,jul,3,-1,0,unknown,no
cust_000274,2018-07-08,41,admin,married,secondary,no,-396,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000275,2018-08-12,49,self_employed,single,secondary,no,766,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000278,2018-09-16,33,entrepreneur,married,secondary,no,0,no,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000279,2019-04-23,58,blue_collar,married,primary,no,853,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000280,2019-03-08,36,blue_collar,single,tertiary,no,1346,no,no,cellular,7,jul,7,-1,0,unknown,no
cust_000281,2018-07-13,35,management,married,tertiary,no,122,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000283,2019-01-26,27,blue_collar,single,primary,no,1659,no,yes,cellular,7,jul,3,-1,0,unknown,no
cust_000284,2018-10-22,35,management,married,tertiary,no,126,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000285,2019-04-04,53,blue_collar,married,secondary,no,143,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000287,2018-07-21,60,management,married,tertiary,yes,-108,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000289,2019-02-09,54,self_employed,married,secondary,no,203,yes,no,telephone,7,jul,8,-1,0,unknown,no
cust_000290,2019-02-21,48,self_employed,married,secondary,no,252,no,no,cellular,7,jul,5,-1,0,unknown,no
cust_000291,2018-07-18,40,management,divorced,secondary,no,-626,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000292,2018-08-03,26,blue_collar,single,secondary,no,6,no,yes,telephone,7,jul,3,-1,0,unknown,no
cust_000293,2019-03-18,38,technician,married,secondary,no,0,yes,yes,cellular,7,jul,5,-1,0,unknown,no
cust_000294,2019-03-22,31,blue_collar,married,primary,no,76,no,yes,telephone,7,jul,4,-1,0,unknown,no
cust_000295,2018-11-17,46,blue_collar,married,primary,no,14,no,no,cellular,7,jul,1,-1,0,unknown,no
cust_000296,2018-12-01,27,management,single,tertiary,no,1117,yes,no,cellular,7,jul,4,-1,0,unknown,no
cust_000297,2019-02-28,53,blue_collar,married,primary,no,1086,no,no,cellular,7,jul,5,-1,0,unknown,no
cust_000298,2018-12-27,40,blue_collar,married,primary,yes,-23,no,yes,cellular,7,jul,3,-1,0,unknown,no
cust_000299,2019-03-27,43,entrepreneur,married,secondary,no,128,yes,no,telephone,7,jul,2,-1,0,unknown,no
cust_000300,2018-12-05,31,housemaid,married,primary,no,-367,yes,yes,telephone,7,jul,2,-1,0,unknown,no
cust_000303,2019-04-11,28,blue_collar,married,secondary,no,619,no,no,telephone,7,jul,2,-1,0,unknown,no
cust_000304,2018-08-17,47,services,married,secondary,no,24,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000306,2018-07-28,57,technician,married,tertiary,no,-40,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000307,2019-01-06,58,retired,single,secondary,no,282,no,yes,cellular,7,jul,1,-1,0,unknown,no
cust_000308,2019-01-09,25,blue_collar,married,secondary,no,267,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000309,2018-09-20,31,blue_collar,single,secondary,no,726,no,no,cellular,7,jul,2,-1,0,unknown,yes
cust_000310,2018-06-16,47,technician,married,primary,no,50,no,no,telephone,7,jul,3,-1,0,unknown,no
cust_000311,2018-09-16,27,services,married,secondary,no,379,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000312,2018-07-12,45,entrepreneur,married,secondary,no,4688,no,no,cellular,7,jul,10,-1,0,unknown,no
cust_000313,2018-09-01,33,technician,married,secondary,no,-805,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000314,2018-11-05,31,blue_collar,single,secondary,no,-2,no,yes,cellular,7,jul,2,-1,0,unknown,no
cust_000315,2019-03-12,32,services,single,secondary,no,473,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000316,2018-09-23,41,housemaid,married,primary,no,175,no,no,cellular,7,jul,1,-1,0,unknown,no
